PRFA01000064	106949	117795	+	158_106949_117795
PRFA01000065	75317	79052	+	159_75317_79052
PRFA01000065	117105	121029	+	160_117105_121029
PRFA01000066	28237	39083	+	161_28237_39083
PRFA01000072	26	263	+	162_26_263
PRFA01000072	4793	6183	+	163_4793_6183
PRFA01000072	10760	12151	+	164_10760_12151
PRFA01000072	16857	23304	+	165_16857_23304
PRFA01000072	105622	107013	+	166_105622_107013
PRFA01000072	111864	122710	+	167_111864_122710
PRFA01000072	163111	163654	+	168_163111_163654
PRFA01000073	88556	99376	+	169_88556_99376
PRFA01000073	109834	120695	+	170_109834_120695
PRFA01000073	131155	142023	+	171_131155_142023
PRFA01000077	1	6143	+	172_1_6143
PRFA01000077	12771	23726	+	173_12771_23726
PRFA01000077	30146	41087	+	174_30146_41087
PRFA01000077	47505	58463	+	175_47505_58463
PRFA01000078	112133	122969	+	176_112133_122969
PRFA01000089	78019	78347	+	177_78019_78347
PRFA01000089	85097	85425	+	178_85097_85425
PRFA01000089	92175	92503	+	179_92175_92503
PRFA01000089	99253	99581	+	180_99253_99581
PRFA01000092	77187	83873	+	181_77187_83873
PRFA01000093	21363	22426	+	182_21363_22426
PRFA01000093	99934	103874	+	183_99934_103874
PRFA01000097	6152	16566	+	184_6152_16566
PRFA01000097	21539	31953	+	185_21539_31953
PRFA01000098	29600	40347	+	186_29600_40347
PRFA01000098	56225	67055	+	187_56225_67055
PRFA01000098	87483	98331	+	188_87483_98331
PRFA01000099	14887	15790	+	189_14887_15790
PRFA01000100	2690	13522	+	190_2690_13522
PRFA01000100	111066	116202	+	191_111066_116202
PRFA01000108	1	8748	+	192_1_8748
PRFA01000108	11673	22519	+	193_11673_22519
PRFA01000108	74972	85834	+	194_74972_85834
PRFA01000108	96303	103529	+	195_96303_103529
PRFA01000110	23432	34384	+	196_23432_34384
PRFA01000110	81882	92835	+	197_81882_92835
PRFA01000116	81831	92695	+	198_81831_92695
PRFA01000118	5955	7474	+	199_5955_7474
PRFA01000118	14077	24921	+	200_14077_24921
PRFA01000120	38744	49580	+	201_38744_49580
PRFA01000126	14899	25745	+	202_14899_25745
PRFA01000128	72831	83638	+	203_72831_83638
PRFA01000129	39763	40279	+	204_39763_40279
PRFA01000129	49166	60125	+	205_49166_60125
PRFA01000140	18831	19375	+	206_18831_19375
PRFA01000140	28095	39042	+	207_28095_39042
PRFA01000141	1	3694	+	208_1_3694
PRFA01000141	73700	74050	+	209_73700_74050
PRFA01000153	23056	33891	+	210_23056_33891
PRFA01000154	1	1991	+	211_1_1991
PRFA01000154	39834	40294	+	212_39834_40294
PRFA01000154	47009	47469	+	213_47009_47469
